Timestamp,1. What is your current level of education? ,2. What is your gender? ,3. What is your primary field of study? ,4. Are you a domestic or foreign (international) student? ,5.  Are you currently working full-time or part-time while studying?,6. Which mode of education do you prefer?,7. Have you taken any online courses in the past year?,8(a) . What factors influence your choice of online  education?  (select all that apply),8(b).  What factors influence your choice of offline education?  (select all that apply),"9. How do you rate the effectiveness of online education on a scale of 1 to 5 (1 being ineffective, 5 being very effective)?",10. What challenges do you face in online education?  (select all that apply),11. How often do you engage with your instructors during online courses?,12. How satisfied are you with the quality of learning materials provided in online courses?,13. Do you feel that online education provides enough opportunities for collaboration and interaction with other students?,14. What benefits do you find in offline education compared to online education?  (select all that apply),"15. How satisfied are you with the availability of learning resources (labs, libraries) in offline education? ",16. How would you rate the classroom environment in terms of engagement and participation? ,17. Do you feel more motivated to study in an offline (in-person) setting compared to an online one? , 18.  Which mode of education has helped you achieve better grades or academic results?  ,"19. In your opinion, which mode of education, online or offline, better prepares you for getting a job?""  "
10/25/2024 13:33:58,Undergraduate,Male,information & technology,Domestic student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time, 3 hour scheduled classes are often 1 hour, massive time waste to commute","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Good,Strongly agree,Offline,Offline
10/25/2024 13:35:27,Graduate,Male,data analytics,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, ","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",1,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear, Professors getting interrupted during lecture from children and partner, professor barley teaching and constantly offloading course material from cisco linkd in and other websites. ",Sometimes,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
10/25/2024 13:50:15,Graduate,Male,information & technology,Domestic student,Not working,Online,No,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time",Availability of courses,4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Average,Agree,Online,Offline
10/25/2024 14:21:13,Graduate,Male,business,Domestic student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,Doubts remain unclear,Sometimes,Very satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Disagree,Online,Online
10/25/2024 17:56:34,Undergraduate,Male,information & technology,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Quality of education, Availability of courses","Cost, Convenience of location, Face-to-face interaction with instructors and peers",5,Lack of interaction with peers,Very often,Very satisfied,Yes,Doubt clarity,Neutral,Average,Neutral,Online,Online
10/25/2024 18:01:12,Undergraduate,Male,information & technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,4,"Poor internet connection, Technical difficulties, It's harder to ask instructors problems, since they would leave the online secession before the class time is over",Sometimes,Satisfied,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Neutral,Offline,Offline
10/25/2024 20:13:36,Graduate,Male,information & technology,Foreign (International) student,Part-time,Online,No,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Lack of access to course materials",Sometimes,Very satisfied,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Unsatisfied,Average,Neutral,Online,Online
10/25/2024 22:13:50,Undergraduate,Male,information & technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",5,Difficulty staying motivated,Very often,Very satisfied,Yes,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Online,Offline
10/26/2024 3:06:17,Graduate,Female,data analytics,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Prefer in-person exams and assessments,4,Doubts remain unclear,Very often,Satisfied,Yes,"More structured schedule, Doubt clarity",Neutral,Good,Neutral,Offline,Online
10/26/2024 11:35:22,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Excellent,Agree,Offline,Offline
10/26/2024 12:25:09,Undergraduate,Male,information & technology,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Excellent,Strongly agree,Offline,Offline
10/26/2024 12:57:42,Graduate,Male,data analytics,Foreign (International) student,Not working,Offline (In-person),No,Flexibility in schedule,"Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Sometimes,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Agree,Offline,Offline
10/26/2024 17:55:48,Graduate,Female,data analytics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Technical difficulties",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Excellent,Agree,Offline,Offline
10/27/2024 0:14:35,Graduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Very often,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Good,Agree,Offline,Offline
10/27/2024 12:03:48,Graduate,Male,engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments, Study Environment is better inperson",2,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment",Neutral,Excellent,Strongly agree,Offline,Offline
10/27/2024 12:31:59,Graduate,Female,engineering,Domestic student,Not working,Offline (In-person),Yes,"Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Good,Strongly agree,Offline,Online
10/27/2024 13:41:41,Undergraduate,Male,other,Domestic student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Can’t talk directly to professor. Have to email them to communicate and if I want to speak with them have to schedule a MS Teams call. Overall, it’s a bit of delayed communication, especially with certain professors who don’t respond to emails for days or weeks.",Very often,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Excellent,Strongly agree,Offline,Offline
10/27/2024 19:14:51,Graduate,Female,other,Domestic student,Full-time,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time, Recorded lectures",Availability of courses,5,Unrecorded lectures,Sometimes,Very satisfied,Yes,Doubt clarity,Very satisfied,Average,Agree,Offline,Offline
10/27/2024 19:39:02,Undergraduate,Female,business,Domestic student,Not working,Online,No,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Difficulty staying motivated, Doubts remain unclear",Sometimes,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
10/28/2024 12:05:03,High School,Female,information & technology,Domestic student,Part-time,Offline (In-person),No,I have a disability that makes online classes untenable,"Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",1,Difficulty staying motivated,Never,Very unsatisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
10/29/2024 10:01:34,Graduate,Male,information & technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost","Flexibility in schedule, Cost",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Excellent,Strongly agree,Online,Online
10/29/2024 10:11:22,Graduate,Male,other,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Avoiding travel/commute time","Convenience of location, Face-to-face interaction with instructors and peers, Availability of courses",4,Technical difficulties,Sometimes,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Online,Online
10/29/2024 13:24:23,Graduate,Female,information & technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
10/29/2024 13:24:50,Graduate,Female,information & technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,Lack of interaction with peers,Sometimes,Satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Online
10/29/2024 13:27:31,Graduate,Female,information & technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Very satisfied,Average,Neutral,Offline,Offline
10/29/2024 13:27:38,Graduate,Male,other,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors, Availability of courses","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",4,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
10/29/2024 13:28:01,Graduate,Male,other,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Easier to focus, More engaging learning environment",Satisfied,Good,Agree,Offline,Offline
10/29/2024 13:28:10,Graduate,Female,data analytics,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
10/29/2024 13:32:37,Graduate,Female,information & technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Cost, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Convenience of location, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Difficulty staying motivated, Technical difficulties",Rarely,Neutral,No,Doubt clarity,Neutral,Average,Agree,Offline,Offline
10/29/2024 13:49:42,Undergraduate,Female,information & technology,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Very satisfied,Excellent,Agree,Offline,Offline
10/29/2024 14:04:17,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
10/29/2024 14:07:24,Graduate,Male,data analytics,Foreign (International) student,Full-time,Offline (In-person),Yes,"Cost, Quality of education","Cost, Quality of education, Face-to-face interaction with instructors and peers",3,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, More structured schedule",Satisfied,Excellent,Strongly agree,Offline,Offline
10/29/2024 14:10:40,Graduate,Female,data analytics,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Never,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
10/30/2024 18:39:04,Graduate,Female,other,Foreign (International) student,Part-time,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers",2,"Difficulty staying motivated, Lack of access to course materials",Rarely,Neutral,Yes,Doubt clarity,Neutral,Average,Disagree,Online,Online
10/30/2024 21:58:58,Graduate,Prefer not to say,other,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost",Convenience of location,1,Difficulty staying motivated,Never,Satisfied,No,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Offline,Offline
10/30/2024 22:23:10,High School,Male,other,Domestic student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Interaction with peers/instructors, Avoiding travel/commute time, ","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, in person classes are much more engaging and easier to pay attention to, and people talk to each other in classes whereas in online classes people are less prone to ask the teacher questions and talk to each other",2,"Lack of interaction with peers, Difficulty staying motivated, very unengaging ",Rarely,Very satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Average,Strongly agree,Online,Offline
10/31/2024 11:51:20,Graduate,Female,data analytics,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Good,Agree,Offline,Online
11-03-2024 10:49,Graduate,Male,engineering,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 09:22,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
11-05-2024 09:26,Graduate,Female,data analytics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",1,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Agree,Offline,Offline
11-05-2024 09:48,Graduate,Male,business,Foreign (International) student,Not working,Online,No,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Doubts remain unclear",Sometimes,Very satisfied,Yes,"More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Online,Online
11-05-2024 09:48,Graduate,Male,business,Foreign (International) student,Not working,Online,Yes,Convenience of location,Face-to-face interaction with instructors and peers,5,Doubts remain unclear,Rarely,Neutral,Yes,Doubt clarity,Neutral,Average,Agree,Offline,Online
11-05-2024 09:49,Undergraduate,Male,business,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Technical difficulties",Sometimes,Satisfied,No,More structured schedule,Satisfied,Good,Neutral,Online,Online
11-05-2024 09:49,Graduate,Male,business,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers",4,Poor internet connection,Very often,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
11-05-2024 13:50,Graduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Doubt clarity",Very satisfied,Excellent,Agree,Offline,Offline
11-05-2024 13:51,Graduate,Male,data analytics,Foreign (International) student,Full-time,Offline (In-person),Yes,"Quality of education, Availability of courses",Cost,2,Lack of interaction with peers,Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 14:13,Graduate,Male,data analytics,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time, ","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments, ",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear, U",Very often,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
